from,to,label,sourceRelationship,sourceBaseClass,sourceDependentClass
ci-switch-forwarding-rule,ci-ip-router,Contains,Contained by (child),Switch Forwarding Rule,IP Router
ci-switchport,ci-ip-switch,Contains,Contained by (child),Switchport,IP Switch
ci-alibaba-datacenter,ci-cloud-image,Contains,Hosts (child),Alibaba Datacenter,Cloud Image
ci-storage-node-element,ci-storage-cluster-node,Contains,Hosts (child),Storage Node Element,Storage Cluster Node
ci-virtual-machine-instance,ci-windows-server,Runs on,Virtualizes (child),Virtual Machine Instance,Windows Server
ci-avi-controller-cluster,ci-avi-controller,Contains,Cluster of (parent),AVI Controller Cluster,AVI Controller
ci-storage-volume-snapshot,ci-availability-zone,Contains,Located in Zone (parent),Storage Volume Snapshot,Availability Zone
ci-hardware,ci-ot-system-service,Uses,Used by (child),Hardware,OT System Service
ci-google-datacenter,ci-hardware-type,Contains,Hosts (child),Google Datacenter,Hardware Type
ci-radware-load-balancer,ci-network-adapter,Depends on,Owns (parent),Radware Load Balancer,Network Adapter
ci-cloud-subnet,ci-route-table-endpoint,Connects to,Use End Point To (parent),Cloud Subnet,Route Table Endpoint
ci-f5-big-ip,ci-network-adapter,Depends on,Owns (parent),F5 BIG-IP,Network Adapter
ci-cohesity-node,ci-ip-address,Depends on,Owns (parent),Cohesity Node,IP Address
ci-ip-address,ci-cisco-firewall-device,Depends on,Owned by (child),IP Address,Cisco Firewall Device
ci-ovirt-server,ci-ovirt-virtual-machine-instance,Runs on,Has registered (child),oVirt Server,oVirt Virtual Machine Instance
ci-windows-cluster-node,ci-windows-cluster,Contains,Member of (child),Windows Cluster Node,Windows Cluster
ci-vmware-vcenter-network,ci-vmware-virtual-machine-template,Connects to,Connects (child),VMware vCenter Network,VMware Virtual Machine Template
ci-isam-server,ci-network-adapter,Depends on,Owns (parent),ISAM Server,Network Adapter
ci-f5-big-ip,ci-unique-certificate,Uses,Uses (parent),F5 BIG-IP,Unique Certificate
ci-alibaba-datacenter,ci-virtual-machine-instance,Contains,Hosts (child),Alibaba Datacenter,Virtual Machine Instance
ci-firewall-manager,ci-firewall-security-policy,Contains,Contains (parent),Firewall Manager,Firewall Security Policy
ci-virtual-network-gateway-connection,ci-resource-group,Contains,Contained by (child),Virtual Network Gateway Connection,Resource Group
ci-edge-application,ci-kubernetes-cluster,Runs on,Runs (child),Edge Application,Kubernetes Cluster
ci-storage-server,ci-pure-storage-file-share,Uses,Provides (child),Storage Server,Pure Storage File Share
ci-ibm-zos-server,ci-ip-address,Depends on,Owns (parent),IBM zOS server,IP Address
ci-file-system,ci-ibm-zos-server,Contains,Contained by (child),File System,IBM zOS server
ci-hyper-v-server,ci-computer,Runs on,Virtualizes (child),Hyper-V Server,Computer
ci-windows-server,ci-nas-file-system,Contains,Contains (parent),Windows Server,NAS File System
ci-kubernetes-namespace,ci-kubernetes-replicaset,Contains,Contains (parent),Kubernetes Namespace,Kubernetes ReplicaSet
ci-google-datacenter,ci-load-balancer-pool,Contains,Hosts (child),Google Datacenter,Load Balancer Pool
ci-kubernetes-cluster,ci-kubernetes-daemonset,Contains,Hosts (child),Kubernetes Cluster,Kubernetes DaemonSet
ci-cloud-public-ip-address,ci-google-datacenter,Runs on,Hosted on (parent),Cloud Public IP Address,Google Datacenter
ci-chassis,ci-disk-shelf-chassis,Contains,Hosts (child),Chassis,Disk Shelf Chassis
ci-oracle-weblogic,ci-oracle-weblogic,Uses,Used by (child),Oracle WebLogic,Oracle WebLogic
ci-virtual-machine-instance,ci-linux-server,Runs on,Virtualizes (child),Virtual Machine Instance,Linux Server
ci-msft-sql-instance,ci-tomcat,Uses,Used by (child),MSFT SQL Instance,Tomcat
ci-citrix-netscaler,ci-network-adapter,Depends on,Owns (parent),Citrix Netscaler,Network Adapter
ci-ovirt-virtual-machine-instance,ci-ovirt-cluster,Runs on,Hosted on (parent),oVirt Virtual Machine Instance,oVirt Cluster
ci-router-interface,ci-aix-server,Uses,Used by (child),Router Interface,AIX Server
ci-vmware-vcenter-folder,ci-vmware-vcenter-folder,Contains,Contained by (child),VMware vCenter Folder,VMware vCenter Folder
ci-aws-cloud-ecs-task,ci-aws-cloud-ecs-cluster,Runs on,Runs on (parent),AWS Cloud ECS Task,AWS Cloud ECS Cluster
ci-network-adapter,ci-a10-load-balancer,Depends on,Owned by (child),Network Adapter,A10 Load Balancer
ci-allocated-ip-address,ci-ip-address,Depends on,Manages (child),Allocated IP Address,IP Address
ci-dns-name,ci-ip-address,Uses,Uses (parent),DNS Name,IP Address
ci-aws-datacenter,ci-network-acl,Contains,Hosts (child),AWS Datacenter,Network ACL
ci-unique-certificate,ci-application,Uses,Used by (child),Unique Certificate,Application
ci-storage-controller,ci-storage-server,Depends on,Controller for (parent),Storage Controller,Storage Server
ci-azure-datacenter,ci-cloud-hardware-type,Contains,Hosts (child),Azure Datacenter,Cloud Hardware Type
ci-package,ci-solaris-server,Depends on,Owned by (child),Package,Solaris Server
ci-deployed-marketplace-product,ci-resource-group,Contains,Contained by (child),Deployed Marketplace Product,Resource Group
ci-storage-volume-snapshot,ci-ibm-datacenter,Runs on,Hosted on (parent),Storage Volume Snapshot,IBM Datacenter
ci-ovirt-cluster,ci-ovirt-server,Contains,Members (parent),oVirt Cluster,oVirt Server
ci-ip-address,ci-network-adapter,Depends on,Owned by (child),IP Address,Network Adapter
ci-opc-client,ci-ot-supervisory-system,Connects to,Connected by (child),OPC Client,OT Supervisory System
ci-openstack-datacenter,ci-virtual-machine-instance,Contains,Hosts (child),Openstack Datacenter,Virtual Machine Instance
ci-storage-hba,ci-solaris-server,Depends on,Owned by (child),Storage HBA,Solaris Server
ci-switchport,ci-switch-partition,Runs on,Runs (child),Switchport,Switch Partition
ci-industrial-sensor,ci-ot-control-module,Depends on,Owned by (child),Industrial Sensor,OT Control Module
ci-storage-hba,ci-hyper-v-server,Depends on,Owned by (child),Storage HBA,Hyper-V Server
ci-load-balancer-service,ci-load-balancer-pool,Uses,Uses (parent),Load Balancer Service,Load Balancer Pool
ci-vmware-vcenter-cluster,ci-esx-server,Contains,Members (parent),VMware vCenter Cluster,ESX Server
ci-vmware-vcenter-datastore,ci-datastore-disk,Uses,Provided By (parent),VMware vCenter Datastore,Datastore Disk
ci-linux-server,ci-fibre-channel-port,Depends on,Owns (parent),Linux Server,Fibre Channel Port
ci-sdwan-port,ci-network-circuit,Connects to,Connects to (parent),SDWAN Port,Network Circuit
ci-f5-big-ip,ci-load-balancer-interface,Depends on,Owns (parent),F5 BIG-IP,Load Balancer Interface
ci-ip-switch,ci-switchport,Contains,Contains (parent),IP Switch,Switchport
ci-cloud-service-account,ci-kubernetes-cluster-role,Contains,Hosts (child),Cloud Service Account,Kubernetes Cluster Role
ci-aix-server,ci-patch,Depends on,Owns (parent),AIX Server,Patch
ci-a10-load-balancer-partition,ci-a10-load-balancer,Contains,Contained by (child),A10 Load Balancer Partition,A10 Load Balancer
ci-disk-partition,ci-linux-server,Contains,Contained by (child),Disk Partition,Linux Server
ci-aws-datacenter,ci-aws-cloud-ecs-service,Contains,Hosts (child),AWS Datacenter,AWS Cloud ECS Service
ci-storage-volume,ci-google-datacenter,Runs on,Hosted on (parent),Storage Volume,Google Datacenter
ci-ip-switch,ci-f5-big-ip,Connects to,IP Connection (child),IP Switch,F5 BIG-IP
ci-virtual-private-gateway,ci-aws-datacenter,Runs on,Hosted on (parent),Virtual Private Gateway,AWS Datacenter
ci-cloud-service-account,ci-kubernetes-service,Contains,Hosts (child),Cloud Service Account,Kubernetes Service
ci-ip-address,ci-ace,Depends on,Owned by (child),IP Address,ACE
ci-business-process,ci-business-process-activity,Uses,Uses (parent),Business Process,Business Process Activity
ci-application,ci-unix-server,Runs on,Runs on (parent),Application,UNIX Server
ci-ip-address,ci-hpux-server,Depends on,Owned by (child),IP Address,HPUX Server
ci-docker-container,ci-linux-server,Runs on,Runs on (parent),Docker Container,Linux Server
ci-ip-address,ci-data-power-hosting-server,Depends on,Owns (parent),IP Address,Data Power Hosting Server
ci-tomcat,ci-load-balancer-service,Routes to,Distributed by (parent),Tomcat,Load Balancer Service
ci-vmware-vcenter-datacenter,ci-vmware-vcenter-network,Contains,Contains (parent),VMware vCenter Datacenter,VMware vCenter Network
ci-disk-shelf-chassis,ci-chassis,Runs on,Hosted on (parent),Disk Shelf Chassis,Chassis
ci-f5-big-ip,ci-cluster-node,Contains,Hosts (child),F5 BIG-IP,Cluster Node
ci-kubernetes-pod,ci-kubernetes-service,Contains,Cluster (child),Kubernetes Pod,Kubernetes Service
ci-virtual-network-gateway-connection,ci-virtual-private-gateway,Connects to,Connects (child),Virtual Network Gateway Connection,Virtual Private Gateway
ci-service,ci-linux-server,Depends on,Depends on (parent),Service,Linux Server
ci-cloud-load-balancer,ci-compute-security-group,Contains,Contains (parent),Cloud Load Balancer,Compute Security Group
ci-network-topology,ci-network-site,Connects to,Connected by (parent),Network Topology,Network Site
ci-router-interface,ci-cisco-firewall-device,Uses,Used by (child),Router Interface,Cisco Firewall Device
ci-ibm-datacenter,ci-cloud-load-balancer,Contains,Hosts (child),IBM Datacenter,Cloud Load Balancer
ci-storage-server,ci-ip-address,Depends on,Owns (parent),Storage Server,IP Address
ci-cloud-service-account,ci-kubernetes-pod,Contains,Hosts (child),Cloud Service Account,Kubernetes Pod
ci-network-topology,ci-logical-connection,Contains,Members (parent),Network Topology,Logical connection
ci-wireless-access-point,ci-ip-switch,Depends on,Controlled by (child),Wireless Access Point,IP Switch
ci-oracle-pdb-instance,ci-oracle-instance,Depends on,Managed by (parent),Oracle PDB Instance,Oracle Instance
ci-kafka-consumer-group,ci-kafka-consumer,Depends on,parent:e819fdffc7616010dc4b677703c26038,Kafka Consumer Group,Kafka Consumer
ci-ot-control-module,ci-industrial-drive,Depends on,Owns (parent),OT Control Module,Industrial Drive
ci-linux-server,ci-exit-interface-routing-rule,Uses,Uses (parent),Linux Server,Exit Interface Routing Rule
ci-dcs,ci-dpu,Connects to,Connects to (parent),DCS,DPU
ci-web-application,ci-ibm-websphere-as,Contains,Contained by (child),Web Application,IBM WebSphere AS
ci-windows-server,ci-router-interface,Uses,Uses (child),Windows Server,Router Interface
ci-kafka-consumer,ci-kafka-consumer-group,Depends on,child:e819fdffc7616010dc4b677703c26038,Kafka Consumer,Kafka Consumer Group
ci-virtual-private-gateway-endpoint,ci-cloud-network,Connects to,Use End Point From (child),Virtual Private Gateway Endpoint,Cloud Network
ci-google-datacenter,ci-cloud-hardware-type,Contains,Hosts (child),Google Datacenter,Cloud Hardware Type
ci-azure-datacenter,ci-cloud-service-account,Runs on,Hosted on (parent),Azure Datacenter,Cloud Service Account
ci-disk,ci-linux-server,Contains,Contained by (child),Disk,Linux Server
ci-fibre-channel-port,ci-linux-server,Depends on,Owned by (child),Fibre Channel Port,Linux Server
ci-unique-certificate,ci-f5-big-ip,Uses,Used by (child),Unique Certificate,F5 BIG-IP
ci-historian,ci-opc-client,Connects to,Connects to (parent),Historian,OPC Client
ci-cluster-virtual-ip,ci-windows-cluster,Runs on,Virtualizes (child),Cluster Virtual IP,Windows Cluster
ci-file-system,ci-windows-server,Contains,Contained by (child),File System,Windows Server
ci-disk,ci-computer,Contains,Contained by (child),Disk,Computer
ci-hyper-v-server,ci-hyper-v-resource-pool,Contains,Contained by (child),Hyper-V Server,Hyper-V Resource Pool
ci-storage-server,ci-storage-volume,Contains,Contains (parent),Storage Server,Storage Volume
ci-cloud-image,ci-azure-datacenter,Runs on,Hosted on (parent),Cloud Image,Azure Datacenter
ci-image,ci-instance-template,Uses,Used by (child),Image,Instance template
ci-vmware-virtual-machine-template,ci-vmware-vcenter-folder,Contains,Contained by (child),VMware Virtual Machine Template,VMware vCenter Folder
ci-iscsi-disk,ci-nas-file-system,Uses,Provided by (child),iSCSI Disk,NAS File System
ci-hyper-v-virtual-network,ci-hyper-v-virtual-machine-instance,Connects to,Connects (child),Hyper-V Virtual Network,Hyper-V Virtual Machine Instance
ci-virtual-machine-instance,ci-storage-server,Runs on,Virtualizes (child),Virtual Machine Instance,Storage Server
ci-oracle-database-listener,ci-oracle-instance,Depends on,Depends on (parent),Oracle Database Listener,Oracle Instance
ci-resource-group,ci-cloud-mgmt-network-interface,Contains,Contains (parent),Resource Group,Cloud Mgmt Network Interface
ci-linux-server,ci-ip-switch,Connects to,IP Connection (parent),Linux Server,IP Switch
ci-vmware-vcenter-datacenter,ci-vmware-vcenter-folder,Contains,Contains (parent),VMware vCenter Datacenter,VMware vCenter Folder
ci-cluster-virtual-ip,ci-unix-cluster,Runs on,Virtualizes (child),Cluster Virtual IP,UNIX Cluster
ci-windows-server,ci-storage-device,Contains,Contains (parent),Windows Server,Storage Device
ci-cloud-service-account,ci-openstack-domain,Depends on,Owned by (child),Cloud Service Account,OpenStack Domain
ci-cassandra-cluster,ci-cassandra-cluster-node,Contains,Cluster (child),Cassandra Cluster,Cassandra Cluster Node
ci-computer,ci-ip-address,Depends on,Owns (parent),Computer,IP Address
ci-storage-volume-snapshot,ci-openstack-datacenter,Runs on,Hosted on (parent),Storage Volume Snapshot,Openstack Datacenter
ci-cloud-service-account,ci-kubernetes-deployment,Contains,Hosts (child),Cloud Service Account,Kubernetes Deployment
ci-computer,ci-esx-server,Runs on,Virtualizes (child),Computer,ESX Server
ci-site,ci-video-management-system,Contains,Contains (parent),Site,Video Management System
ci-ip-address,ci-computer,Depends on,Owned by (child),IP Address,Computer
ci-kubernetes-cluster,ci-kubernetes-node-pool,Uses,Used by (parent),Kubernetes Cluster,Kubernetes Node Pool
ci-cassandra-instance,ci-cassandra-cluster-node,Runs on,Hosted on (parent),Cassandra Instance,Cassandra Cluster Node
ci-hyper-v-server,ci-network-adapter,Depends on,Owns (parent),Hyper-V Server,Network Adapter
ci-solaris-server,ci-storage-hba,Depends on,Owns (parent),Solaris Server,Storage HBA
ci-computer,ci-file-system,Contains,Contains (parent),Computer,File System
ci-hyper-v-server,ci-disk-partition,Contains,Contains (parent),Hyper-V Server,Disk Partition
ci-ip-switch,ci-switch-partition,Contains,Contains (parent),IP Switch,Switch Partition
ci-google-datacenter,ci-cloud-public-ip-address,Contains,Hosts (child),Google Datacenter,Cloud Public IP Address
ci-hardware-type,ci-google-datacenter,Runs on,Hosted on (parent),Hardware Type,Google Datacenter
ci-nginx-load-balancer,ci-nginx-web-server,Uses,Provided by (child),Nginx Load Balancer,Nginx Web Server
ci-service,ci-windows-server,Depends on,Depends on (parent),Service,Windows Server
ci-google-organization-folder,ci-cmdb-ci-cloud-org,Contains,Contained by (child),Google Organization Folder,cmdb_ci_cloud_org
ci-cmdb-ci-cloud-org,ci-google-organization-project,Contains,Contains (parent),cmdb_ci_cloud_org,Google Organization Project
ci-resource-group,ci-compute-security-group,Contains,Contains (parent),Resource Group,Compute Security Group
ci-linux-server,ci-virtual-machine-instance,Runs on,Virtualized by (parent),Linux Server,Virtual Machine Instance
ci-edge-application,ci-ip-camera,Uses,Used by (child),Edge Application,IP Camera
ci-vmware-vcenter-datastore,ci-vmware-virtual-machine-instance,Uses,Provides storage for (parent),VMware vCenter Datastore,VMware Virtual Machine Instance
ci-tomcat,ci-msft-sql-instance,Depends on,Depends on (parent),Tomcat,MSFT SQL Instance
ci-load-balancer-vlan,ci-load-balancer-interface,Uses,Uses (parent),Load Balancer VLAN,Load Balancer Interface
ci-instance-template,ci-hardware-type,Uses,Uses (parent),Instance template,Hardware Type
ci-ews,ci-plc,Connects to,Connects to (parent),EWS,PLC
ci-f5-big-ip,ci-load-balancer-service,Runs on,Runs (child),F5 BIG-IP,Load Balancer Service
ci-google-organization-project,ci-google-organization-folder,Contains,Contained by (child),Google Organization Project,Google Organization Folder
ci-windows-server,ci-memory-module,Contains,Contains (parent),Windows Server,Memory Module
ci-storage-server,ci-storage-controller,Depends on,Controlled by (child),Storage Server,Storage Controller
ci-ip-switch,ci-ip-address,Depends on,Owns (parent),IP Switch,IP Address
ci-hyper-v-server,ci-software,Runs on,Runs (child),Hyper-V Server,Software
ci-cloud-storage-account,ci-resource-group,Contains,Contained by (child),Cloud Storage Account,Resource Group
ci-storage-node-element,ci-storage-pool,Contains,Hosts (child),Storage Node Element,Storage Pool
ci-storage-device,ci-storage-server,Contains,Contained by (child),Storage Device,Storage Server
ci-fibre-channel-export,ci-storage-server,Runs on,Hosted on (parent),Fibre Channel Export,Storage Server
ci-ip-switch,ci-windows-server,Connects to,IP Connection (child),IP Switch,Windows Server
ci-storage-device,ci-file-system,Uses,Provided by (child),Storage Device,File System
ci-cloud-service-account,ci-openstack-datacenter,Contains,Hosts (child),Cloud Service Account,Openstack Datacenter
ci-ip-router,ci-router-interface,Uses,Uses (parent),IP Router,Router Interface
ci-aws-cloud-ecs-task,ci-aws-datacenter,Runs on,Hosted on (parent),AWS Cloud ECS Task,AWS Datacenter
ci-f5-big-ip,ci-ip-switch,Connects to,IP Connection (parent),F5 BIG-IP,IP Switch
ci-router-interface,ci-exit-interface-routing-rule,Depends on,Owns (parent),Router Interface,Exit Interface Routing Rule
ci-network-adapter,ci-ip-address,Depends on,Owns (parent),Network Adapter,IP Address
ci-vmware-virtual-machine-instance,ci-vmware-vcenter-network,Connects to,Connected by (parent),VMware Virtual Machine Instance,VMware vCenter Network
ci-cisco-ucs-chassis,ci-cisco-ucs-blade,Contains,Contains (parent),Cisco UCS Chassis,Cisco UCS Blade
ci-vmware-vcenter-datacenter,ci-vmware-vcenter-datastore,Contains,Contains (parent),VMware vCenter Datacenter,VMware vCenter Datastore
ci-firewall-device,ci-firewall-security-policy,Contains,Contains (parent),Firewall Device,Firewall Security Policy
ci-hyper-v-server,ci-hyper-v-virtual-machine-instance,Runs on,Has registered (child),Hyper-V Server,Hyper-V Virtual Machine Instance
ci-network-adapter,ci-fortinet-firewall-device,Depends on,Owned by (child),Network Adapter,Fortinet Firewall Device
ci-internet-gateway,ci-aws-datacenter,Runs on,Hosted on (parent),Internet Gateway,AWS Datacenter
ci-alteon,ci-load-balancer-pool,Depends on,Owns (parent),Alteon,Load Balancer Pool
ci-linux-server,ci-kubernetes-pod,Contains,Contains (parent),Linux Server,Kubernetes Pod
ci-aix-server,ci-router-interface,Uses,Uses (parent),AIX Server,Router Interface
ci-hardware-type,ci-cloud-database,Uses,Provisioned (child),Hardware Type,Cloud DataBase
ci-load-balancer-vlan,ci-load-balancer-service,Uses,Used by (child),Load Balancer VLAN,Load Balancer Service
ci-esx-server,ci-vmware-virtual-machine-template,Runs on,Has registered (child),ESX Server,VMware Virtual Machine Template
ci-esx-server,ci-computer,Runs on,Virtualizes (child),ESX Server,Computer
ci-windows-cluster-node,ci-cluster-virtual-ip,Uses,Uses (parent),Windows Cluster Node,Cluster Virtual IP
ci-information-object,ci-exchange-mailbox,Depends on,Depends on (parent),Information Object,Exchange MailBox
ci-cloud-image,ci-instance-template,Uses,Used by (child),Cloud Image,Instance template
ci-load-balancer-pool,ci-load-balancer-pool-member,Contains,Members (parent),Load Balancer Pool,Load Balancer Pool Member
ci-cluster-node,ci-server,Runs on,Hosted on (parent),Cluster Node,Server
ci-vmware-vcenter-folder,ci-vmware-virtual-machine-instance,Contains,Contains (parent),VMware vCenter Folder,VMware Virtual Machine Instance
ci-oracle-weblogic,ci-oracle-weblogic,Depends on,Depends on (parent),Oracle WebLogic,Oracle WebLogic
ci-load-balancer-pool,ci-a10-load-balancer,Depends on,Owned by (child),Load Balancer Pool,A10 Load Balancer
ci-ot-control-system,ci-opc-server,Connects to,Connected by (child),OT Control System,OPC Server
ci-plc,ci-ot-control-module,Depends on,Owns (parent),PLC,OT Control Module
ci-cloud-resource,ci-google-datacenter,Runs on,Hosted on (parent),Cloud Resource,Google Datacenter
ci-cisco-ucs-blade,ci-server,Runs on,Runs on (parent),Cisco UCS Blade,Server
ci-lvm-pool,ci-linux-server,Contains,Contained by (child),LVM Pool,Linux Server
ci-disk-partition,ci-file-system,Uses,Provides (child),Disk Partition,File System
ci-web-application,ci-jboss,Contains,Contained by (child),Web Application,JBoss
ci-ip-switch,ci-a10-load-balancer,Connects to,IP Connection (child),IP Switch,A10 Load Balancer
ci-file-system,ci-iscsi-disk,Uses,Provided by (child),File System,iSCSI Disk
ci-vpn-connection,ci-customer-gateway,Contains,Contained by (child),VPN Connection,Customer Gateway
ci-f5-big-ip,ci-ip-address,Depends on,Owns (parent),F5 BIG-IP,IP Address
ci-vmware-virtual-machine-instance,ci-windows-server,Runs on,Instantiates (parent),VMware Virtual Machine Instance,Windows Server
ci-virtual-machine-instance,ci-availability-zone,Contains,Located in (parent),Virtual Machine Instance,Availability Zone
ci-cloudfoundry-space,ci-cloudfoundry-space-service-instance,Uses,Uses (parent),CloudFoundry Space,CloudFoundry Space Service Instance
ci-cloud-mgmt-network-interface,ci-vnic-endpoint,Connects to,Implement End Point From (child),Cloud Mgmt Network Interface,VNIC Endpoint
ci-server,ci-cisco-ucs-rack-mount-unit,Runs on,Runs (child),Server,Cisco UCS Rack Mount Unit
ci-network-adapter,ci-isam-server,Depends on,Owned by (child),Network Adapter,ISAM Server
ci-disk-shelf-chassis,ci-disk,Contains,Hosts (child),Disk Shelf Chassis,Disk
ci-storage-controller,ci-fibre-channel-port,Depends on,Controller for (parent),Storage Controller,Fibre Channel Port
ci-load-balancer-service,ci-alteon,Runs on,Runs on (parent),Load Balancer Service,Alteon
ci-linux-server,ci-memory-module,Contains,Contains (parent),Linux Server,Memory Module
ci-storage-volume-snapshot,ci-storage-volume,Uses,Provisioned (child),Storage Volume Snapshot,Storage Volume
ci-docker-image,ci-docker-local-image,Runs on,Instantiated by (child),Docker Image,Docker Local Image
ci-cloud-mgmt-network-interface,ci-cloud-subnet,Contains,Contained by (child),Cloud Mgmt Network Interface,Cloud Subnet
ci-esx-server,ci-vmware-vcenter-network,Uses,Provides (child),ESX Server,VMware vCenter Network
ci-avi-controller-cluster,ci-avi-service-engine,Contains,Hosts (child),AVI Controller Cluster,AVI Service Engine
ci-cloud-image,ci-oci-datacenter,Runs on,Hosted on (parent),Cloud Image,OCI Datacenter
ci-kubernetes-node,ci-cloud-service-account,Runs on,Hosted on (parent),Kubernetes Node,Cloud Service Account
ci-cloudfoundry-route,ci-cloudfoundry-domain,Depends on,Depends on (parent),CloudFoundry Route,CloudFoundry Domain
ci-storage-volume,ci-storage-server,Contains,Contained by (child),Storage Volume,Storage Server
ci-ip-address,ci-citrix-netscaler,Depends on,Owned by (child),IP Address,Citrix Netscaler
ci-configuration-file,ci-information-object,Uses,Used by (child),Configuration file,Information Object
ci-hpux-server,ci-network-adapter,Depends on,Owns (parent),HPUX Server,Network Adapter
ci-sap-sid,ci-sap-ascs-application,Uses,Used by (child),SAP SID,SAP ASCS Application
ci-sap-di-application,ci-sap-sid,Uses,Uses (parent),SAP DI Application,SAP SID
ci-scada-server,ci-plc,Connects to,Connects to (parent),SCADA Server,PLC
ci-cloud-account-group,ci-azure-management-group,Contains,Contains (parent),Cloud Account Group,Azure Management Group
ci-storage-device,ci-storage-export,Uses,Imports from (child),Storage Device,Storage Export
ci-cloud-service-account,ci-ovirt-ldc,Contains,Hosts (child),Cloud Service Account,oVirt LDC
ci-ibm-cloud-space,ci-ibm-datacenter,Contains,Contained by (child),IBM Cloud Space,IBM Datacenter
ci-google-organization-project,ci-cmdb-ci-cloud-org,Contains,Contained by (child),Google Organization Project,cmdb_ci_cloud_org
