id,label,type,cmdbClass,domain
ci-business-process-activity,Enterprise Business Process Activity 001,Infrastructure CI,Business Process Activity,Business / Service
ci-business-service,App Business Service 001,Infrastructure CI,Business Service,Business / Service
ci-cassandra-cluster,Trading Cassandra Cluster 001,Infrastructure CI,Cassandra Cluster,Data / Messaging
ci-cassandra-cluster-node,Pittsburgh Cassandra Cluster Node 001,Infrastructure CI,Cassandra Cluster Node,Data / Messaging
ci-cassandra-instance,Trading Cassandra Instance 001,Infrastructure CI,Cassandra Instance,Data / Messaging
ci-chassis,Enterprise Chassis 001,Infrastructure CI,Chassis,Infrastructure / Other
ci-circuit,Enterprise Circuit 001,Infrastructure CI,Circuit,Infrastructure / Other
ci-cisco-firewall-device,Enterprise Cisco Firewall Device 001,Infrastructure CI,Cisco Firewall Device,Network / Security
ci-cisco-ucs-blade,Enterprise Cisco UCS Blade 001,Infrastructure CI,Cisco UCS Blade,Infrastructure / Other
ci-cisco-ucs-chassis,Enterprise Cisco UCS Chassis 001,Infrastructure CI,Cisco UCS Chassis,Infrastructure / Other
ci-cisco-ucs-equipment,Network Cisco UCS Equipment 001,Infrastructure CI,Cisco UCS Equipment,Infrastructure / Other
ci-cisco-ucs-rack-mount-unit,Enterprise Cisco UCS Rack Mount Unit 001,Infrastructure CI,Cisco UCS Rack Mount Unit,Infrastructure / Other
ci-citrix-netscaler,Edge Citrix Netscaler 001,Infrastructure CI,Citrix Netscaler,Infrastructure / Other
ci-cloud-account-group,Cloud Cloud Account Group 001,Infrastructure CI,Cloud Account Group,Cloud
ci-cloud-database,Trading Cloud DataBase 001,Infrastructure CI,Cloud DataBase,Data / Messaging
ci-cloud-direct-connect,Cloud Cloud Direct Connect 001,Infrastructure CI,Cloud Direct Connect,Cloud
ci-cloud-disk-type,Storage Cloud Disk Type 001,Infrastructure CI,Cloud Disk Type,Storage
ci-cloud-gateway,Network Cloud Gateway 001,Infrastructure CI,Cloud Gateway,Network / Security
ci-cloud-hardware-type,Cloud Cloud Hardware Type 001,Infrastructure CI,Cloud Hardware Type,Cloud
ci-cloud-image,Cloud Cloud Image 001,Infrastructure CI,Cloud Image,Cloud
ci-cloud-key-pair,Cloud Cloud Key Pair 001,Infrastructure CI,Cloud Key Pair,Cloud
ci-cloud-load-balancer,Edge Cloud Load Balancer 001,Infrastructure CI,Cloud Load Balancer,Network / Security
ci-cloud-load-balancer-health-service,Edge Cloud Load Balancer Health Service 001,Infrastructure CI,Cloud Load Balancer Health Service,Application / Service
ci-cloud-location-group,Cloud Cloud Location Group 001,Infrastructure CI,Cloud Location Group,Cloud
ci-cloud-mgmt-network-interface,Network Cloud Mgmt Network Interface 001,Infrastructure CI,Cloud Mgmt Network Interface,Network / Security
ci-cloud-network,Network Cloud Network 001,Infrastructure CI,Cloud Network,Network / Security
ci-cloud-public-ip-address,Network Cloud Public IP Address 001,Infrastructure CI,Cloud Public IP Address,Network / Security
ci-cloud-resource,Cloud Cloud Resource 001,Infrastructure CI,Cloud Resource,Cloud
ci-cloud-service-account,App Cloud Service Account 001,Infrastructure CI,Cloud Service Account,Application / Service
ci-cloud-storage-account,Storage Cloud Storage Account 001,Infrastructure CI,Cloud Storage Account,Storage
ci-cloud-subnet,Network Cloud Subnet 001,Infrastructure CI,Cloud Subnet,Network / Security
ci-cloud-system-management-agent,Cloud Cloud System Management Agent 001,Infrastructure CI,Cloud System Management Agent,Cloud
ci-cloudfoundry-application,App CloudFoundry Application 001,Infrastructure CI,CloudFoundry Application,Application / Service
ci-cloudfoundry-domain,Cloud CloudFoundry Domain 001,Infrastructure CI,CloudFoundry Domain,Cloud
ci-cloudfoundry-organization,Cloud CloudFoundry Organization 001,Infrastructure CI,CloudFoundry Organization,Cloud
ci-cloudfoundry-route,Cloud CloudFoundry Route 001,Infrastructure CI,CloudFoundry Route,Cloud
ci-cloudfoundry-space,Cloud CloudFoundry Space 001,Infrastructure CI,CloudFoundry Space,Cloud
ci-cloudfoundry-space-service-instance,App CloudFoundry Space Service Instance 001,Infrastructure CI,CloudFoundry Space Service Instance,Application / Service
ci-cluster,Enterprise Cluster 001,Infrastructure CI,Cluster,Infrastructure / Other
ci-cluster-node,Pittsburgh Cluster Node 001,Infrastructure CI,Cluster Node,Infrastructure / Other
ci-cluster-resource-group,Enterprise Cluster Resource Group 001,Infrastructure CI,Cluster Resource Group,Infrastructure / Other
ci-cluster-virtual-ip,Network Cluster Virtual IP 001,Infrastructure CI,Cluster Virtual IP,Operational Technology
ci-cohesity-cluster,Enterprise Cohesity Cluster 001,Infrastructure CI,Cohesity Cluster,Infrastructure / Other
ci-cohesity-node,Pittsburgh Cohesity Node 001,Infrastructure CI,Cohesity Node,Infrastructure / Other
ci-compute-security-endpoint,Enterprise Compute Security Endpoint 001,Infrastructure CI,Compute Security Endpoint,Infrastructure / Other
ci-compute-security-group,Enterprise Compute Security Group 001,Infrastructure CI,Compute Security Group,Infrastructure / Other
ci-computer,Pittsburgh Computer 001,Infrastructure CI,Computer,Infrastructure / Other
ci-computer-peripheral,Pittsburgh Computer Peripheral 001,Infrastructure CI,Computer Peripheral,Infrastructure / Other
ci-computer-room,Pittsburgh Computer Room 001,Infrastructure CI,Computer Room,Infrastructure / Other
ci-computer-room-ac,Pittsburgh Computer Room AC 001,Infrastructure CI,Computer Room AC,Infrastructure / Other
ci-configuration-item,Enterprise Configuration Item 001,Infrastructure CI,Configuration Item,Infrastructure / Other
ci-configuration-file,Enterprise Configuration file 001,Infrastructure CI,Configuration file,Infrastructure / Other
ci-confluent-environment,Enterprise Confluent Environment 001,Infrastructure CI,Confluent Environment,Infrastructure / Other
ci-customer-gateway,Network Customer Gateway 001,Infrastructure CI,Customer Gateway,Network / Security
ci-dcs,Enterprise DCS 001,Infrastructure CI,DCS,Infrastructure / Other
ci-dns-alias,Network DNS Alias 001,Infrastructure CI,DNS Alias,Network / Security
ci-dns-name,Network DNS Name 001,Infrastructure CI,DNS Name,Network / Security
ci-dns-zone,Network DNS Zone 001,Infrastructure CI,DNS Zone,Network / Security
ci-dpu,Enterprise DPU 001,Infrastructure CI,DPU,Infrastructure / Other
ci-data-center,Enterprise Data Center 001,Infrastructure CI,Data Center,Infrastructure / Other
ci-data-center-zone,Enterprise Data Center Zone 001,Infrastructure CI,Data Center Zone,Infrastructure / Other
ci-data-power-hosting-server,Pittsburgh Data Power Hosting Server 001,Infrastructure CI,Data Power Hosting Server,Infrastructure / Other
ci-database,Trading Database 001,Infrastructure CI,Database,Data / Messaging
ci-database-catalog,Trading Database Catalog 001,Infrastructure CI,Database Catalog,Data / Messaging
ci-datastore-disk,Storage Datastore Disk 001,Infrastructure CI,Datastore Disk,Storage
ci-deployed-marketplace-product,Enterprise Deployed Marketplace Product 001,Infrastructure CI,Deployed Marketplace Product,Infrastructure / Other
ci-disk,Storage Disk 001,Infrastructure CI,Disk,Storage
ci-disk-partition,Storage Disk Partition 001,Infrastructure CI,Disk Partition,Storage
ci-disk-shelf-chassis,Storage Disk Shelf Chassis 001,Infrastructure CI,Disk Shelf Chassis,Storage
ci-docker-container,Kube Docker Container 001,Infrastructure CI,Docker Container,Runtime / Containers
ci-docker-image,Kube Docker Image 001,Infrastructure CI,Docker Image,Runtime / Containers
ci-docker-local-image,Kube Docker Local Image 001,Infrastructure CI,Docker Local Image,Runtime / Containers
ci-dynamic-ci-group,Enterprise Dynamic CI Group 001,Infrastructure CI,Dynamic CI Group,Infrastructure / Other
ci-dynamodb-global-table,Trading DynamoDB Global Table 001,Infrastructure CI,DynamoDB Global Table,Data / Messaging
ci-dynamodb-table,Trading DynamoDB Table 001,Infrastructure CI,DynamoDB Table,Data / Messaging
ci-esx-resource-pool,Enterprise ESX Resource Pool 001,Infrastructure CI,ESX Resource Pool,Infrastructure / Other
ci-esx-server,Pittsburgh ESX Server 001,Infrastructure CI,ESX Server,Infrastructure / Other
ci-ews,Enterprise EWS 001,Infrastructure CI,EWS,Infrastructure / Other
ci-edge-application,App Edge Application 001,Infrastructure CI,Edge Application,Application / Service
ci-email-server,Pittsburgh Email Server 001,Infrastructure CI,Email Server,Infrastructure / Other
ci-endpoint,Enterprise Endpoint 001,Infrastructure CI,Endpoint,Infrastructure / Other
ci-exchange-mailbox,Enterprise Exchange MailBox 001,Infrastructure CI,Exchange MailBox,Infrastructure / Other
ci-exit-interface-routing-rule,Enterprise Exit Interface Routing Rule 001,Infrastructure CI,Exit Interface Routing Rule,Infrastructure / Other
ci-f5-big-ip,Edge F5 BIG-IP 001,Infrastructure CI,F5 BIG-IP,Infrastructure / Other
ci-fibre-channel-disk,Storage Fibre Channel Disk 001,Infrastructure CI,Fibre Channel Disk,Storage
ci-fibre-channel-export,Storage Fibre Channel Export 001,Infrastructure CI,Fibre Channel Export,Storage
ci-fibre-channel-port,Storage Fibre Channel Port 001,Infrastructure CI,Fibre Channel Port,Storage
ci-file-system,Storage File System 001,Infrastructure CI,File System,Storage
ci-firewall-device,Enterprise Firewall Device 001,Infrastructure CI,Firewall Device,Network / Security
ci-firewall-device-group,Enterprise Firewall Device Group 001,Infrastructure CI,Firewall Device Group,Network / Security
ci-firewall-manager,Enterprise Firewall Manager 001,Infrastructure CI,Firewall Manager,Network / Security
ci-firewall-security-policy,Enterprise Firewall Security Policy 001,Infrastructure CI,Firewall Security Policy,Network / Security
ci-fortinet-firewall-cluster,Enterprise Fortinet Firewall Cluster 001,Infrastructure CI,Fortinet Firewall Cluster,Network / Security
ci-fortinet-firewall-device,Enterprise Fortinet Firewall Device 001,Infrastructure CI,Fortinet Firewall Device,Network / Security
ci-google-datacenter,Cloud Google Datacenter 001,Infrastructure CI,Google Datacenter,Cloud
ci-google-organization-folder,Cloud Google Organization Folder 001,Infrastructure CI,Google Organization Folder,Cloud
ci-google-organization-project,Cloud Google Organization Project 001,Infrastructure CI,Google Organization Project,Cloud
ci-graphics-processing-unit,Enterprise Graphics Processing Unit 001,Infrastructure CI,Graphics Processing Unit,Business / Service
ci-hmi,Enterprise HMI 001,Infrastructure CI,HMI,Infrastructure / Other
ci-hpux-server,Pittsburgh HPUX Server 001,Infrastructure CI,HPUX Server,Infrastructure / Other
ci-hardware,Enterprise Hardware 001,Infrastructure CI,Hardware,Infrastructure / Other
ci-hardware-type,Enterprise Hardware Type 001,Infrastructure CI,Hardware Type,Infrastructure / Other
ci-historian,Plant Historian 001,Infrastructure CI,Historian,Operational Technology
ci-hyper-v-cluster,Enterprise Hyper-V Cluster 001,Infrastructure CI,Hyper-V Cluster,Infrastructure / Other
ci-hyper-v-resource-pool,Enterprise Hyper-V Resource Pool 001,Infrastructure CI,Hyper-V Resource Pool,Infrastructure / Other
ci-hyper-v-server,Pittsburgh Hyper-V Server 001,Infrastructure CI,Hyper-V Server,Infrastructure / Other
ci-hyper-v-storage,Storage Hyper-V Storage 001,Infrastructure CI,Hyper-V Storage,Storage
ci-hyper-v-storage-component,Storage Hyper-V Storage Component 001,Infrastructure CI,Hyper-V Storage Component,Storage
ci-hyper-v-virtual-machine-instance,Plant Hyper-V Virtual Machine Instance 001,Infrastructure CI,Hyper-V Virtual Machine Instance,Operational Technology
ci-hyper-v-virtual-network,Network Hyper-V Virtual Network 001,Infrastructure CI,Hyper-V Virtual Network,Network / Security
ci-hyper-v-virtual-network-component,Network Hyper-V Virtual Network Component 001,Infrastructure CI,Hyper-V Virtual Network Component,Network / Security
ci-ibm-cloud-space,Cloud IBM Cloud Space 001,Infrastructure CI,IBM Cloud Space,Cloud
ci-ibm-datacenter,Enterprise IBM Datacenter 001,Infrastructure CI,IBM Datacenter,Infrastructure / Other
ci-ibm-frame,Enterprise IBM Frame 001,Infrastructure CI,IBM Frame,Infrastructure / Other
ci-ibm-hmc-processor-pool,Enterprise IBM HMC Processor pool 001,Infrastructure CI,IBM HMC Processor pool,Business / Service
ci-ibm-hmc-server,Pittsburgh IBM HMC Server 001,Infrastructure CI,IBM HMC Server,Infrastructure / Other
ci-ibm-lpar-instance,Enterprise IBM LPAR Instance 001,Infrastructure CI,IBM LPAR Instance,Infrastructure / Other
ci-ibm-websphere-as,App IBM WebSphere AS 001,Infrastructure CI,IBM WebSphere AS,Application / Service
ci-ibm-zos-server,Pittsburgh IBM zOS server 001,Infrastructure CI,IBM zOS server,Infrastructure / Other
ci-ied,Enterprise IED 001,Infrastructure CI,IED,Infrastructure / Other
ci-ip-address,Network IP Address 001,Infrastructure CI,IP Address,Network / Security
ci-ip-camera,Network IP Camera 001,Infrastructure CI,IP Camera,Network / Security
ci-ip-router,Network IP Router 001,Infrastructure CI,IP Router,Network / Security
ci-ip-switch,Network IP Switch 001,Infrastructure CI,IP Switch,Network / Security
ci-isam-server,Pittsburgh ISAM Server 001,Infrastructure CI,ISAM Server,Infrastructure / Other
ci-iscsi-endpoint,Storage ISCSI Endpoint 001,Infrastructure CI,ISCSI Endpoint,Storage
ci-image,Enterprise Image 001,Infrastructure CI,Image,Infrastructure / Other
ci-industrial-actuator,Plant Industrial Actuator 001,Infrastructure CI,Industrial Actuator,Operational Technology
ci-industrial-drive,Plant Industrial Drive 001,Infrastructure CI,Industrial Drive,Operational Technology
ci-industrial-robot,Plant Industrial Robot 001,Infrastructure CI,Industrial Robot,Operational Technology
ci-industrial-sensor,Plant Industrial Sensor 001,Infrastructure CI,Industrial Sensor,Operational Technology
ci-information-object,Enterprise Information Object 001,Infrastructure CI,Information Object,Infrastructure / Other
ci-instance-scale-set,Enterprise Instance Scale Set 001,Infrastructure CI,Instance Scale Set,Infrastructure / Other
ci-instance-template,Enterprise Instance template 001,Infrastructure CI,Instance template,Infrastructure / Other
ci-internet-gateway,Network Internet Gateway 001,Infrastructure CI,Internet Gateway,Network / Security
ci-internet-gateway-endpoint,Network Internet Gateway Endpoint 001,Infrastructure CI,Internet Gateway Endpoint,Network / Security
ci-intrusion-detection-system,Enterprise Intrusion Detection System 001,Infrastructure CI,Intrusion Detection System,Infrastructure / Other
ci-iot-device,Plant IoT Device 001,Infrastructure CI,IoT Device,Operational Technology
ci-jboss,App JBoss 001,Infrastructure CI,JBoss,Application / Service
ci-juniper-firewall-cluster,Network Juniper Firewall Cluster 001,Infrastructure CI,Juniper Firewall Cluster,Network / Security
ci-juniper-firewall-device,Network Juniper Firewall Device 001,Infrastructure CI,Juniper Firewall Device,Network / Security
ci-kafka-broker,Enterprise Kafka Broker 001,Infrastructure CI,Kafka Broker,Data / Messaging
ci-kafka-cluster,Enterprise Kafka Cluster 001,Infrastructure CI,Kafka Cluster,Data / Messaging
ci-kafka-cluster-node,Pittsburgh Kafka Cluster Node 001,Infrastructure CI,Kafka Cluster Node,Data / Messaging
ci-kafka-connect,Enterprise Kafka Connect 001,Infrastructure CI,Kafka Connect,Data / Messaging
ci-kafka-consumer,Enterprise Kafka Consumer 001,Infrastructure CI,Kafka Consumer,Data / Messaging
ci-kafka-consumer-group,Enterprise Kafka Consumer Group 001,Infrastructure CI,Kafka Consumer Group,Data / Messaging
ci-kafka-topic,Enterprise Kafka Topic 001,Infrastructure CI,Kafka Topic,Data / Messaging
ci-kafka-zoo-keeper,Enterprise Kafka Zoo Keeper 001,Infrastructure CI,Kafka Zoo Keeper,Data / Messaging
ci-kong-load-balancer,Edge Kong Load Balancer 001,Infrastructure CI,Kong Load Balancer,Network / Security
ci-kubernetes-cluster,Kube Kubernetes Cluster 001,Infrastructure CI,Kubernetes Cluster,Runtime / Containers
ci-kubernetes-cluster-role,Kube Kubernetes Cluster Role 001,Infrastructure CI,Kubernetes Cluster Role,Runtime / Containers
ci-kubernetes-cluster-role-binding,Kube Kubernetes Cluster Role Binding 001,Infrastructure CI,Kubernetes Cluster Role Binding,Runtime / Containers
ci-kubernetes-daemonset,Kube Kubernetes DaemonSet 001,Infrastructure CI,Kubernetes DaemonSet,Runtime / Containers
ci-kubernetes-deployment,Kube Kubernetes Deployment 001,Infrastructure CI,Kubernetes Deployment,Runtime / Containers
ci-kubernetes-namespace,Kube Kubernetes Namespace 001,Infrastructure CI,Kubernetes Namespace,Runtime / Containers
ci-kubernetes-node,Pittsburgh Kubernetes Node 001,Infrastructure CI,Kubernetes Node,Runtime / Containers
ci-kubernetes-node-pool,Pittsburgh Kubernetes Node Pool 001,Infrastructure CI,Kubernetes Node Pool,Runtime / Containers
ci-kubernetes-pod,Kube Kubernetes Pod 001,Infrastructure CI,Kubernetes Pod,Runtime / Containers
ci-kubernetes-replicaset,Kube Kubernetes ReplicaSet 001,Infrastructure CI,Kubernetes ReplicaSet,Runtime / Containers
ci-kubernetes-service,Kube Kubernetes Service 001,Infrastructure CI,Kubernetes Service,Application / Service
ci-kubernetes-statefulset,Kube Kubernetes StatefulSet 001,Infrastructure CI,Kubernetes StatefulSet,Runtime / Containers
ci-lvm-pool,Enterprise LVM Pool 001,Infrastructure CI,LVM Pool,Infrastructure / Other
ci-lvm-pool-member,Enterprise LVM Pool Member 001,Infrastructure CI,LVM Pool Member,Infrastructure / Other
ci-linux-server,Pittsburgh Linux Server 001,Infrastructure CI,Linux Server,Infrastructure / Other
ci-load-balancer-interface,Edge Load Balancer Interface 001,Infrastructure CI,Load Balancer Interface,Network / Security
ci-load-balancer-pool,Edge Load Balancer Pool 001,Infrastructure CI,Load Balancer Pool,Network / Security
ci-load-balancer-pool-member,Edge Load Balancer Pool Member 001,Infrastructure CI,Load Balancer Pool Member,Network / Security
ci-load-balancer-service,Edge Load Balancer Service 001,Infrastructure CI,Load Balancer Service,Application / Service
ci-load-balancer-vlan,Edge Load Balancer VLAN 001,Infrastructure CI,Load Balancer VLAN,Network / Security
ci-logical-datacenter,Enterprise Logical Datacenter 001,Infrastructure CI,Logical Datacenter,Infrastructure / Other
ci-logical-connection,Enterprise Logical connection 001,Infrastructure CI,Logical connection,Infrastructure / Other
ci-ms-sql-database,Trading MS SQL DataBase 001,Infrastructure CI,MS SQL DataBase,Data / Messaging
ci-msft-sql-instance,Trading MSFT SQL Instance 001,Infrastructure CI,MSFT SQL Instance,Data / Messaging
ci-mssql-availability-group,Trading MSSQL Availability Group 001,Infrastructure CI,MSSQL Availability Group,Data / Messaging
ci-mssql-availability-group-listener,Trading MSSQL Availability Group Listener 001,Infrastructure CI,MSSQL Availability Group Listener,Data / Messaging
ci-mssql-availability-group-replica,Trading MSSQL Availability Group Replica 001,Infrastructure CI,MSSQL Availability Group Replica,Data / Messaging
ci-managed-ip-network-subnet,Network Managed IP Network Subnet 001,Infrastructure CI,Managed IP Network Subnet,Network / Security
ci-mass-storage-device,Storage Mass Storage Device 001,Infrastructure CI,Mass Storage Device,Storage
ci-memory-module,Enterprise Memory Module 001,Infrastructure CI,Memory Module,Infrastructure / Other
ci-nas-file-system,Storage NAS File System 001,Infrastructure CI,NAS File System,Storage
ci-nat-endpoint,Enterprise NAT Endpoint 001,Infrastructure CI,NAT Endpoint,Infrastructure / Other
ci-nat-gateway,Network NAT Gateway 001,Infrastructure CI,NAT Gateway,Network / Security
ci-nfs-endpoint,Enterprise NFS Endpoint 001,Infrastructure CI,NFS Endpoint,Infrastructure / Other
ci-nsx-load-balancer,Edge NSX Load Balancer 001,Infrastructure CI,NSX Load Balancer,Network / Security
ci-network-acl,Network Network ACL 001,Infrastructure CI,Network ACL,Network / Security
ci-network-adapter,Network Network Adapter 001,Infrastructure CI,Network Adapter,Network / Security
ci-network-circuit,Network Network Circuit 001,Infrastructure CI,Network Circuit,Network / Security
ci-network-gear,Network Network Gear 001,Infrastructure CI,Network Gear,Network / Security
ci-network-hostname,Pittsburgh Network Hostname 001,Infrastructure CI,Network Hostname,Network / Security
ci-network-site,Network Network Site 001,Infrastructure CI,Network Site,Network / Security
ci-network-topology,Network Network Topology 001,Infrastructure CI,Network Topology,Network / Security
ci-next-hop-routing-rule,Enterprise Next Hop Routing Rule 001,Infrastructure CI,Next Hop Routing Rule,Infrastructure / Other
ci-nginx-load-balancer,Edge Nginx Load Balancer 001,Infrastructure CI,Nginx Load Balancer,Network / Security
ci-nginx-web-server,Pittsburgh Nginx Web Server 001,Infrastructure CI,Nginx Web Server,Application / Service
ci-nutanix-cluster,Enterprise Nutanix Cluster 001,Infrastructure CI,Nutanix Cluster,Infrastructure / Other
ci-nutanix-host,Pittsburgh Nutanix Host 001,Infrastructure CI,Nutanix Host,Infrastructure / Other
ci-nutanix-virtual-machine-instance,Plant Nutanix Virtual Machine Instance 001,Infrastructure CI,Nutanix Virtual Machine Instance,Operational Technology
ci-oci-datacenter,Cloud OCI Datacenter 001,Infrastructure CI,OCI Datacenter,Cloud
ci-opc-client,Enterprise OPC Client 001,Infrastructure CI,OPC Client,Infrastructure / Other
ci-opc-server,Pittsburgh OPC Server 001,Infrastructure CI,OPC Server,Infrastructure / Other
ci-ot-control-module,Plant OT Control Module 001,Infrastructure CI,OT Control Module,Operational Technology
ci-ot-control-system,Plant OT Control System 001,Infrastructure CI,OT Control System,Operational Technology
ci-ot-supervisory-system,Plant OT Supervisory System 001,Infrastructure CI,OT Supervisory System,Operational Technology
ci-ot-system-service,App OT System Service 001,Infrastructure CI,OT System Service,Application / Service
ci-offering,Enterprise Offering 001,Infrastructure CI,Offering,Business / Service
ci-openstack-domain,Cloud OpenStack Domain 001,Infrastructure CI,OpenStack Domain,Cloud
ci-openstack-endpoint,Cloud OpenStack Endpoint 001,Infrastructure CI,OpenStack Endpoint,Cloud
ci-openstack-service,App OpenStack Service 001,Infrastructure CI,OpenStack Service,Application / Service
ci-openstack-datacenter,Cloud Openstack Datacenter 001,Infrastructure CI,Openstack Datacenter,Cloud
ci-operational-technology-ot,Plant Operational Technology (OT) 001,Infrastructure CI,Operational Technology (OT),Operational Technology
ci-oracle-database-listener,Trading Oracle Database Listener 001,Infrastructure CI,Oracle Database Listener,Data / Messaging
ci-oracle-golden-gate,Trading Oracle Golden Gate 001,Infrastructure CI,Oracle Golden Gate,Data / Messaging
ci-oracle-golden-gate-extract-process,Trading Oracle Golden Gate Extract Process 001,Infrastructure CI,Oracle Golden Gate Extract Process,Business / Service
ci-oracle-golden-gate-replicat-process,Trading Oracle Golden Gate Replicat Process 001,Infrastructure CI,Oracle Golden Gate Replicat Process,Business / Service
ci-oracle-instance,Trading Oracle Instance 001,Infrastructure CI,Oracle Instance,Data / Messaging
ci-oracle-pdb-instance,Trading Oracle PDB Instance 001,Infrastructure CI,Oracle PDB Instance,Data / Messaging
ci-oracle-weblogic,Trading Oracle WebLogic 001,Infrastructure CI,Oracle WebLogic,Application / Service
ci-plc,Plant PLC 001,Infrastructure CI,PLC,Operational Technology
ci-package,Enterprise Package 001,Infrastructure CI,Package,Infrastructure / Other
ci-palo-alto-firewall-device,Enterprise Palo Alto Firewall Device 001,Infrastructure CI,Palo Alto Firewall Device,Network / Security
ci-patch,Enterprise Patch 001,Infrastructure CI,Patch,Infrastructure / Other
ci-physical-connection,Enterprise Physical connection 001,Infrastructure CI,Physical connection,Infrastructure / Other
ci-protocol-converter,Plant Protocol Converter 001,Infrastructure CI,Protocol Converter,Operational Technology
ci-provider-device,Enterprise Provider Device 001,Infrastructure CI,Provider Device,Infrastructure / Other
ci-pure-storage-file-share,Storage Pure Storage File Share 001,Infrastructure CI,Pure Storage File Share,Storage
ci-pure-storage-processor,Storage Pure Storage Processor 001,Infrastructure CI,Pure Storage Processor,Business / Service
ci-rtu,Plant RTU 001,Infrastructure CI,RTU,Operational Technology
ci-rack,Enterprise Rack 001,Infrastructure CI,Rack,Infrastructure / Other
ci-radware-load-balancer,Edge Radware Load Balancer 001,Infrastructure CI,Radware Load Balancer,Network / Security
ci-resource-group,Enterprise Resource Group 001,Infrastructure CI,Resource Group,Infrastructure / Other
ci-route-table-endpoint,Enterprise Route Table Endpoint 001,Infrastructure CI,Route Table Endpoint,Infrastructure / Other
ci-router-interface,Network Router Interface 001,Infrastructure CI,Router Interface,Network / Security
ci-sap-ascs-application,App SAP ASCS Application 001,Infrastructure CI,SAP ASCS Application,Application / Service
